City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,isabela,6.7085,121.9711,26.32,81,73,1.12,PH,1679859280
83,jamestown,42.097,-79.2353,11.96,42,0,9.26,US,1679859164
84,broken hill,-31.95,141.4333,24.01,22,100,3.51,AU,1679859280
85,fortuna,40.5982,-124.1573,9.81,67,20,3.6,US,1679858735
86,dzaoudzi,-12.7887,45.2699,27.94,78,40,3.09,YT,1679859281
87,ponta do sol,32.6667,-17.1,21.51,71,15,3.84,PT,1679859281
88,tonekabon,36.8163,50.8738,13.97,66,100,0.65,IR,1679859281
89,prado,-17.3411,-39.2208,27.24,77,49,3.9,BR,1679859282
90,nuuk,64.1835,-51.7216,-1.66,54,40,3.09,GL,1679859282
91,satun,6.8333,100.0,22.0,76,48,0.91,TH,1679859282
92,punta arenas,-53.15,-70.9167,8.01,81,75,6.69,CL,1679859283
93,esperance,-33.8667,121.9,16.64,70,62,5.27,AU,1679859064
94,papetoai,-17.4961,-149.8729,29.77,70,90,3.57,PF,1679859283
95,qaanaaq,77.484,-69.3632,-21.72,67,0,2.38,GL,1679859284
96,buraydah,26.326,43.975,20.25,36,0,7.62,SA,1679859025
97,mount gambier,-37.8333,140.7667,12.17,95,100,2.48,AU,1679859284
98,krasnoselkup,65.7,82.4667,-7.41,96,100,3.41,RU,1679859285
99,ukiah,39.1502,-123.2078,11.91,47,0,2.24,US,1679859285
100,lata,40.1629,-8.3327,8.91,85,9,1.23,PT,1679859286
101,tual,-5.6667,132.75,27.81,80,100,5.7,ID,1679859286
102,hilo,19.7297,-155.09,23.68,83,100,4.02,US,1679859286
103,band,46.5833,24.3833,5.77,70,40,0.51,RO,1679859287
104,welkom,-27.9864,26.7066,18.49,30,0,3.11,ZA,1679859287
105,kavaratti,10.5669,72.642,27.36,68,24,4.97,IN,1679859287
106,hervey bay,-25.2986,152.8535,23.96,74,27,2.57,AU,1679859017
107,kristianstad,56.0313,14.1524,2.08,87,100,5.14,SE,1679859288
